Twitter,State,Party,Type,Name,twitter_display_name
JeffFlake,AZ,Republican,Senator,Jeff Flake,Jeff Flake
SenJonKyl,AZ,Republican,Senator,Jon Kyl,U.S. Senator Jon Kyl
reppeteaguilar,CA,Democrat,Representative,Peter Aguilar,Rep. Pete Aguilar
repcardenas,CA,Democrat,Representative,Tony Cardenas,Rep. Tony Cárdenas
DarrellIssa,CA,Republican,Representative,Darrell Issa,Darrell Issa
SteveKnight25,CA,Republican,Representative,Steve Knight,Steve Knight
DanaRohrabacher,CA,Republican,Representative,Dana Rohrabacher,Dana Rohrabacher
RepEdRoyce,CA,Republican,Representative,Ed Royce,Ed Royce
RepDavidValadao,CA,Republican,Representative,David Valadao,Rep. David Valadao
RepMikeCoffman,CO,Republican,Representative,Mike Coffman,Mike Coffman
RepJaredPolis,CO,Democrat,Representative,Jared Polis,Former Rep. Jared Polis
ChrisCoons,DE,Democrat,Senator,Christopher Coons,Senator Chris Coons
repcharliecrist,FL,Democrat,Representative,Charles Crist,Congressman Charlie Crist
TomRooney,FL,Republican,Representative,Tom Rooney,Tom Rooney
RosLehtinen,FL,Republican,Representative,Ileana Ros-Lehtinen,Ileana Ros-Lehtinen
SenBillNelson,FL,Democrat,Senator,Bill Nelson,Bill Nelson
sanfordbishop,GA,Democrat,Representative,Sanford Bishop,"Sanford Bishop, Jr."
SenatorIsakson,GA,Republican,Senator,Johnny Isakson,Johnny Isakson
ColleenHanabusa,HI,Democrat,Representative,Colleen Hanabusa,Colleen Hanabusa
RepRodBlum,IA,Republican,Representative,Rodney Blum,Rod Blum
RepDavidYoung,IA,Republican,Representative,David Young,David Young
Raul_Labrador,ID,Republican,Representative,Raul Labrador,Raúl R. Labrador
RepGutierrez,IL,Democrat,Representative,Luis Gutierrez,Luis V. Gutierrez
RepHultgren,IL,Republican,Representative,Randy Hultgren,Rep. Randy Hultgren
PeterRoskam,IL,Republican,Representative,Peter Roskam,Peter Roskam
repandrecarson,IN,Democrat,Representative,Andre Carson,André Carson
ToddRokita,IN,Republican,Representative,Todd Rokita,Todd Rokita (Archived)
SenDonnelly,IN,Democrat,Senator,Joe Donnelly,Archive: Senator Joe Donnelly
nikiinthehouse,MA,Democrat,Representative,Niki Tsongas,Mark James
RepCummings,MD,Democrat,Representative,Elijah Cummings,Elijah E. Cummings
RepJohnDelaney,MD,Democrat,Representative,John Delaney,Archive: Rep. John Delaney
RepPoliquin,ME,Republican,Representative,Bruce Poliquin,Rep. Bruce Poliquin
RepJackBergman,MI,Republican,Representative,John Bergman,Rep. Jack Bergman
repsandylevin,MI,Democrat,Representative,Sandy Levin,Rep. Sandy Levin
keithellison,MN,Democrat,Representative,Keith Ellison,Keith Ellison
USRepRickNolan,MN,Democrat,Representative,Rick Nolan,Fmr. US Rep. Rick Nolan
ErikPaulsen,MN,Republican,Representative,Erik Paulsen,Erik Paulsen
RepTimWalz,MN,Democrat,Representative,Tim Walz,Fmr. Rep. Tim Walz
lacyclaymo1,MO,Democrat,Representative,Lacy Clay,Lacy Clay MO1st
ClairecMc,MO,Democrat,Senator,Claire McCaskill,Claire McCaskill
GreggHarper,MS,Republican,Representative,Gregg Harper,Gregg Harper
RepWalterJones,NC,Republican,Representative,Walter Jones,Rep. Walter Jones
RepMarkMeadows,NC,Republican,Representative,Mark Meadows,Mark Meadows
reppittenger,NC,Republican,Representative,Robert Pittenger,Congressman Robert Pittenger
SenatorHeitkamp,ND,Democrat,Senator,Heidi Heitkamp,Archive: Sen. Heidi Heitkamp
RepSheaPorter,NH,Democrat,Representative,Carol Shea-Porter,Rep. Shea-Porter
RepLanceNJ7,NJ,Republican,Representative,Leonard Lance,Rep. Leonard Lance
RepTomMacArthur,NJ,Republican,Representative,Thomas MacArthur,Archive: Tom MacArthur
RepLujanGrisham,NM,Democrat,Representative,Michelle Lujan Grisham,MichelleLujanGrisham
RubenKihuen,NV,Democrat,Representative,Ruben Kihuen,Ruben J. Kihuen
RosenforNevada,NV,Democrat,Representative,Jacklyn Rosen,Jacky Rosen
sencortezmasto,NV,Democrat,Senator,Catherine Cortez Masto,Senator Cortez Masto
SenDeanHeller,NV,Republican,Senator,Dean Heller,Dean Heller
YvetteClarke,NY,Democrat,Representative,Yvette Clarke,Yvette Clarke
RepDanDonovan,NY,Republican,Representative,Daniel Donovan,Archive: Dan Donovan
JohnFasoNY,NY,Republican,Representative,John Faso,John Faso
ClaudiaTenney,NY,Republican,Representative,Claudia Tenney,Claudia Tenney
RepJimRenacci,OH,Republican,Representative,Jim Renacci,Rep. Jim Renacci
RepRussell,OK,Republican,Representative,Steve Russell,Rep. Steve Russell
JimInhofe,OK,Republican,Senator,James Inhofe,Sen. Jim Inhofe
reploubarletta,PA,Republican,Representative,Lou Barletta,Lou Barletta
RepFitzpatrick,PA,Republican,Representative,Brian Fitzpatrick,Mike Fitzpatrick
RepTomMarino,PA,Republican,Representative,Tom Marino,Korey Young
KeithRothfus,PA,Republican,Representative,Keith Rothfus,Keith Rothfus
SenatorSmucker,PA,Republican,Representative,Lloyd Smucker,Senator S
TGowdySC,SC,Republican,Representative,Trey Gowdy,Trey Gowdy
RepSanfordSC,SC,Republican,Representative,Mark Sanford,Mark Sanford (Archived)
RepDianeBlack,TN,Republican,Representative,Diane Black,Diane Black
RepJohnDuncanJr,TN,Republican,Representative,John Duncan,Rep John Duncan Jr.
SenBobCorker,TN,Republican,Senator,Bob Corker,Senator Bob Corker
RepJoeBarton,TX,Republican,Representative,Joe Barton,Joe Barton
RepHensarling,TX,Republican,Representative,Jeb Hensarling,Archive: Rep. Jeb Hensarling
SamsPressShop,TX,Republican,Representative,Sam Johnson,Sam Johnson
RepBetoORourke,TX,Democrat,Representative,Beto O'Rourke,Rep. Beto O'Rourke
JudgeTedPoe,TX,Republican,Representative,Ted Poe,Ted Poe
PeteSessions,TX,Republican,Representative,Pete Sessions,Pete Sessions
LamarSmithTX21,TX,Republican,Representative,Lamar Smith,Lamar Smith
SenOrrinHatch,UT,Republican,Senator,Orrin Hatch,Senator Hatch Office
RepComstock,VA,Republican,Representative,Barbara Comstock,Barbara Comstock
GarrettforVA,VA,Republican,Representative,Thomas Garrett,Tom Garrett
RepGoodlatte,VA,Republican,Representative,Bob Goodlatte,Bob Goodlatte
